#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , showdown,shadowraze,83,"russian drain, russian hip hop",Hip Hop,showdown,2022-03-04,2:00,71,63,4,3,38,13,9,-11 db,115,F#/G♭ Major,2B,4,2022-04-08,48fzAdCxamFYCHNXXLk6zn
2 , astral step,shadowraze,80,"russian drain, russian hip hop",Hip Hop,astral step,2021-10-29,2:01,80,62,1,0,69,29,10,-7 db,95,G Major,9B,4,2022-04-08,47iHvzU9Po0e6raFlgLBOF
3 , Лёд,"WENARO,LXNER",76,"russian drain, hyperpop, russian hip hop","Pop, Hip Hop",Лёд,2021-07-12,2:32,64,79,17,0,95,6,16,-8 db,172,G#/A♭ Major,4B,4,2022-04-08,7D8k995g6jdie4NF1E7Tpu
4 , adaptive strike,"shadowraze,LXNER,quiizzzmeow",76,"russian drain, russian hip hop, hyperpop, russian emo rap, russian hyperpop","Pop, Hip Hop",adaptive strike,2022-02-11,2:16,80,82,19,0,39,5,10,-7 db,102,C♯/D♭ Major,3B,4,2022-04-08,5jXocrsUwpKwWyI5BZLKFA
5 , Фотографирую закат,fem.love,75,"russian drain, russian hip hop",Hip Hop,Фотографирую закат,2020-06-22,2:36,41,90,0,0,40,6,17,-3 db,160,F#/G♭ Major,2B,4,2022-04-08,1ghdJUMhmLEpUitNwyNMWH
6 , shadowfiend,shadowraze,74,"russian drain, russian hip hop",Hip Hop,shadowfiend,2020-09-30,2:23,63,80,5,45,66,8,11,-6 db,178,A#/B♭ Minor,3A,5,2022-04-08,0xEET0hVtwAEI5iVMWmD5C
7 , плачь,"rizza,Sqwore",73,"russian drain, russian hip hop, russian hyperpop",Hip Hop,плачь,2021-08-27,1:56,66,83,30,0,55,23,12,-4 db,157,E Minor,9A,4,2022-04-08,3yCKABoZU3FVFuyVBc5VlM
8 , juggernaut (Prod. by PLVSTIC),shadowraze,74,"russian drain, russian hip hop",Hip Hop,juggernaut (Prod. by PLVSTIC),2021-08-13,2:16,70,66,0,0,59,23,26,-8 db,93,G Major,9B,4,2022-04-08,57V0VhEg1CAkPXeaCLikNW
9 , Yeyo!,Шайни,73,"russian drain, russian hip hop, russian hyperpop",Hip Hop,Yeyo!,2022-02-11,1:51,72,80,10,0,44,6,12,-9 db,138,A Major,11B,4,2022-04-08,4jvw60Iw8LpSRJwy1sOmoB
10 , ЛАБИРИНТ,FACE,73,"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap","Pop, Hip Hop, Latin",12,2019-10-01,2:49,87,72,21,0,91,14,18,-6 db,138,E Minor,9A,4,2022-04-08,7biChppM3c8q7qcVl7ceb2
11 , never enough,zxcursed,71,,,never enough,2022-03-13,2:22,65,83,2,0,56,24,30,-6 db,132,C Major,8B,4,2022-04-08,48jRCynldeK3WQbvd3jr73
12 , psiblades,"shadowraze,babyswishh1",73,"russian drain, russian hip hop, russian hyperpop",Hip Hop,psiblades,2021-09-30,2:11,47,81,19,0,58,8,10,-8 db,176,C Major,8B,4,2022-04-08,3auzaPW4fXa8oI4KbTalAU
13 , ТОЛПЫ КРИЧАТ,"uniqe,nkeeei,ARTEM SHILOVETS",73,"russian hip hop,",Hip Hop,ТОЛПЫ КРИЧАТ,2021-09-28,2:05,90,38,70,0,70,24,9,-7 db,130,D#/E♭ Minor,2A,4,2022-04-08,3mcw4dkjfzj5B4Ago9NSmN
14 , Aomine Daiki,quiizzzmeow,73,"russian drain, russian emo rap, russian hip hop, russian hyperpop",Hip Hop,Aomine Daiki,2021-10-05,2:47,51,82,3,0,16,5,36,-6 db,82,C♯/D♭ Major,3B,4,2022-04-08,5X1FYw7MXEgnPmQAYwAa0q
15 , 99 Problems,"Big Baby Tape,kizaru",74,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:39,95,45,2,0,18,10,7,-9 db,100,A Major,11B,4,2022-04-08,0r9fpWPI6z3V3YZXIiVaNC
16 , 1000-7,"shadowraze,GENJUTSU",72,"russian drain, russian hip hop",Hip Hop,1000-7,2021-03-12,2:07,73,87,1,0,43,20,12,-4 db,133,C♯/D♭ Major,3B,5,2022-04-08,2IMrzJTRHGndoUbM39QIJ7
17 , МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,75,"russian dance, russian hip hop, russian pop","Dance/Electronic, Hip Hop, Pop",МАЛИНОВАЯ ЛАДА,2021-10-22,3:33,76,88,6,0,82,4,23,-5 db,117,E Minor,9A,4,2022-04-08,77B4S4jkrAkL3Ng5hEHoUU
18 , Bandana,"Big Baby Tape,kizaru",73,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:31,75,58,1,4,35,3,17,-6 db,103,F Major,7B,4,2022-04-08,16AzcbKli3UQsxj491hJLQ
19 , Million,"Big Baby Tape,kizaru",73,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:14,87,68,3,0,72,22,27,-5 db,165,F#/G♭ Major,2B,4,2022-04-08,4umjgYILQbHyV41ZmaemQm
20 , Домино,FACE,69,"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap","Pop, Hip Hop, Latin",Искренний,2021-04-08,3:18,84,54,7,4,44,5,10,-9 db,134,B Major,1B,4,2022-04-08,6GyZQ9o0dBU9V0NIjGPz2r
21 , SHAKE,INSTASAMKA,66,"russian hip hop, zhenskiy rep",Hip Hop,SHAKE,2022-03-25,2:11,91,59,2,0,46,21,6,-6 db,87,C♯/D♭ Major,3B,4,2022-04-08,6ljlpspxptHxDmYfR3NW2O
22 , Marmalade,"Miyagi & Andy Panda,Mav-d",73,"russian hip hop,",Hip Hop,Marmalade,2021-11-19,3:40,73,51,57,0,51,5,12,-9 db,110,A#/B♭ Minor,3A,4,2022-04-08,7rvEwAILTqxBpdIyUifkE8
23 , Close Eyes,DVRST,87,,,Close Eyes,2021-05-25,2:12,78,57,7,84,21,6,14,-10 db,96,C Major,8B,4,2022-04-08,3CLSHJv5aUROAN2vfOyCOh
24 , ВЫКЛЮЧАТЕЛЬ,163ONMYNECK,70,"russian drill, russian hip hop",Hip Hop,NO OFFENCE,2022-02-18,1:34,68,80,2,0,39,16,42,-6 db,103,C♯/D♭ Major,3B,4,2022-04-08,3oIvvpkmjxdzd7NYNg5fxm
25 , первое свидание,Alyona Shvets,72,"russian alt pop, russian indie",Dance/Electronic,первое свидание,2020-12-04,2:32,76,50,69,0,61,11,16,-10 db,85,B Minor,10A,4,2022-04-08,4tPB6H0QcK4bDib8iauE28
26 , ЖМУРКИ,163ONMYNECK,71,"russian drill, russian hip hop",Hip Hop,NO OFFENCE,2022-02-18,2:07,67,61,9,0,62,44,30,-9 db,97,G#/A♭ Major,4B,4,2022-04-08,6fiQEMbqzE6CMrcHeukmGc
27 , bankai,zxcursed,61,,,bankai,2022-04-01,1:57,54,91,20,0,71,15,38,-6 db,156,A#/B♭ Major,6B,4,2022-04-08,6tlU1yG1HdSrbbbfQN3NH3
28 , 12,MORGENSHTERN,72,"russian hip hop, russian trap","Hip Hop, Latin",12,2022-03-14,3:00,80,56,56,0,57,28,9,-10 db,144,E Minor,9A,4,2022-04-08,2B9N1fCinwxEo89GcDGB5I
29 , Днями-ночами,"pyrokinesis,MUKKA",71,"russian alt pop, russian hip hop, russian underground rap","Dance/Electronic, Hip Hop",Днями-ночами,2020-03-19,3:17,56,88,18,0,31,6,26,-2 db,180,A Major,11B,4,2022-04-08,04gmklgYhNhZxRnAvSofoE
30 , After Dark,Mr.Kitty,79,weirdcore,,Time,2014-08-08,4:17,58,60,7,41,4,3,8,-10 db,140,G#/A♭ Major,4B,4,2022-04-08,0zCgWGmDF0aih5qexATyBn
31 , TRAXXXMANIA,GONE.Fludd,70,"russian hip hop, russian trap","Hip Hop, Latin",DIGITAL FANTAZY,2021-10-08,1:56,87,54,18,0,46,27,10,-9 db,160,A#/B♭ Minor,3A,4,2022-04-08,2rowi7dF3AqhugMtAnvQmP
32 , Барбисайз,"Дора,MAYBE BABY",71,"russian alt pop, russian pop, russian hip hop, russian viral pop","Dance/Electronic, Hip Hop, Pop",Барбисайз,2021-12-14,3:04,79,67,30,0,37,12,11,-5 db,154,C♯/D♭ Major,3B,4,2022-04-08,1AMf9lmFOmLmb0e57QB78e
33 , ВЛЮБИЛАСЬ,"Big Baby Tape,Молодой Платон",70,"russian hip hop, russian trap, russian drill","Hip Hop, Latin",ВЛЮБИЛАСЬ,2021-12-16,3:36,85,77,5,0,46,4,8,-4 db,100,G#/A♭ Major,4B,4,2022-04-08,3bbkkPpf8AdRU6DurnvoC4
34 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",90,"modern rock, rock, hip hop, rap, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-08,1HhNoOuqm1a5MXYEgAFl8o
35 , Дежавю,kizaru,70,"russian emo rap, russian hip hop, russian trap","Hip Hop, Latin",Karmageddon,2019-08-15,2:53,80,59,2,0,23,14,11,-5 db,88,D Major,10B,4,2022-04-08,1GOiMxQXZUzjzH0Sxpck0B
36 , MIDDLE OF THE NIGHT,Elley Duhé,97,"alt z, pop",Pop,MIDDLE OF THE NIGHT,2020-01-10,3:04,41,61,2,0,9,5,12,-8 db,186,E Minor,9A,3,2022-04-08,58HvfVOeJY7lUuCqF0m3ly
37 , 1000-7,fem.love,69,"russian drain, russian hip hop",Hip Hop,1000-7,2021-07-02,1:57,52,89,6,0,24,4,50,-5 db,135,G Minor,6A,4,2022-04-08,2L2iWhBsyosVcxx36iurfa
38 , Первый раз - remix nevroz,"JojoHF,nevroz",70,"russian hip hop,",Hip Hop,Первый раз (remix nevroz),2021-02-25,1:09,76,64,57,81,35,10,13,-9 db,145,E Minor,9A,3,2022-04-08,1zE2dRkxtOLEOubAmqcHX3
39 , Седьмой лепесток,Антон Токарев,70,,,Седьмой лепесток,2021-12-14,3:19,65,43,1,0,16,3,11,-11 db,101,A#/B♭ Minor,3A,4,2022-04-08,6P4SAsG3RuIeGymX2Qou9L
40 , Кожура,ZAPOMNI,70,russian hip hop,Hip Hop,BACKGROUND,2021-11-19,2:23,85,66,45,0,41,43,10,-9 db,145,C Major,8B,4,2022-04-08,1OeGvzNcGC2s6F41lmCdjA
41 , Инкассатор,ROCKET,68,"russian drill, russian hip hop, russian trap","Hip Hop, Latin",SWAG SEASON 2,2019-07-26,2:45,93,48,5,0,62,25,8,-10 db,125,A#/B♭ Major,6B,4,2022-04-08,4DcMqvjv5pcYVu9jTBhpDH
42 , Вина (feat. 17 SEVENTEEN),"OG Buda,MAYOT,17 SEVENTEEN",69,"russian drill, russian hip hop, russian trap, russian drain","Hip Hop, Latin",Вина (feat. 17 SEVENTEEN),2021-12-17,2:46,74,65,40,0,33,7,10,-12 db,92,G#/A♭ Major,4B,4,2022-04-08,1Kp2TF4fFYjJPqEMf1U0RK
43 , Дом Периньон,"Poshlaya Molly,Eldzhey",69,"russian alt pop, russian electronic, russian dance, russian hip hop, russian pop","Dance/Electronic, Hip Hop, Pop",Дом Периньон,2021-09-17,2:54,73,73,1,0,75,4,40,-8 db,125,C♯/D♭ Major,3B,4,2022-04-08,0i8YObgqnjZYoYJOQbwLHq
44 , баночка с окурками,КОСМОНАВТОВ НЕТ,71,"russian alt pop, russian drain, russian indie rock","Dance/Electronic, Rock",1+1=11,2020-10-16,2:42,40,88,6,2,51,31,32,-7 db,180,A#/B♭ Major,6B,4,2022-04-08,7j6eSKC2Hv3lcElPyR1bP3
45 , Ау,"10AGE,Ramil'",69,"russian hip hop, russian pop","Hip Hop, Pop",Ау,2019-03-21,3:00,72,43,69,0,28,26,10,-10 db,146,A#/B♭ Minor,3A,4,2022-04-08,6RmlamfS2Supq8wARlY0QQ
46 , СОЛНЦЕ МОНАКО,Lusia Chebotina,72,"russian dance pop, russian pop",Pop,The End,2021-10-29,2:40,80,76,7,0,70,7,33,-5 db,135,B Minor,10A,4,2022-04-08,5YDBHDEIgWkfairCJgGApW
47 , Погоди,DSPRITE,67,"russian alt pop, russian hyperpop",Dance/Electronic,Погоди,2021-11-24,1:52,64,57,17,0,71,3,21,-11 db,164,D#/E♭ Minor,2A,4,2022-04-08,5sJt5rmSaKTQyAymKx6e1W
48 , В диапазоне,Pornofilmy,68,"russian alt pop, russian pop punk, russian punk, russian punk rock, russian rock","Dance/Electronic, Latin, Rock",В диапазоне между отчаянием и надеждой,2017-09-28,5:31,49,91,0,0,25,11,8,-4 db,168,E Major,12B,4,2022-04-08,1cmIuauHOxvxzTCFXFnNRL
49 , Таблетка,PLOHOYPAREN,68,"russian drain, russian hip hop, russian trap","Hip Hop, Latin",ПЛОХОЙ ПОЦ,2021-07-30,1:29,77,72,28,0,37,17,13,-7 db,77,C Major,8B,4,2022-04-08,0fLampmh4qsOLGitXM171a
50 , Батареи,Nervy,67,russian pop,Pop,Всё Что Вокруг,2012-05-22,3:13,57,74,10,0,75,14,44,-11 db,150,C♯/D♭ Minor,12A,4,2022-04-08,5VXf1XETOMtk0WZIT4Bw3M
