#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , As It Was,Harry Styles,99,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-08,4LRPiXqCikLlN15c3yImP7
2 , Heat Waves,Glass Animals,96,"gauze pop, indietronica, shiver pop","Pop, Rock",Dreamland (+ Bonus Levels),2020-08-06,3:58,76,53,44,0,53,9,9,-7 db,81,B Major,1B,4,2022-04-08,02MWAaffLxlfxAUY7c5dvx
3 , INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X,Jack Harlow",92,"lgbtq+ hip hop, pop, deep underground hip hop, kentucky hip hop, rap","Hip Hop, Pop",MONTERO,2021-09-17,3:32,74,69,2,0,89,7,5,-7 db,150,A#/B♭ Minor,3A,4,2022-04-08,5Z9KJZvQzH6PFmb8SNkxuk
4 , good 4 u,Olivia Rodrigo,96,pop,Pop,SOUR,2021-05-21,2:58,56,66,34,0,69,15,8,-5 db,167,A Major,11B,4,2022-04-08,4ZtFanR9U6ndgddUvNcjcG
5 , STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber",94,"australian hip hop, canadian pop, pop","Hip Hop, Pop",F*CK LOVE 3: OVER YOU,2021-07-23,2:21,59,76,4,0,48,5,10,-5 db,170,C♯/D♭ Major,3B,4,2022-04-08,5PjdY0CKGZdEuoNab3yDmX
6 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",90,"modern rock, rock, hip hop, rap, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-08,1HhNoOuqm1a5MXYEgAFl8o
7 , We Don't Talk About Bruno,"Carolina Gaitán - La Gaita,Mauro Castillo,Adassa,Rhenzy Feliz,Diane Guerrero,Stephanie Beatriz,Encanto - Cast",95,"modern salsa, salsa colombiana, latin, latin hip hop, reggaeton,","Latin, Hip Hop",Encanto (Original Motion Picture Soundtrack),2021-11-19,3:36,58,45,36,0,83,8,11,-9 db,206,C Minor,5A,4,2022-04-08,52xJxFP6TqMuO4Yt0eOkMz
8 , Super Gremlin,Kodak Black,79,"florida rap, hip hop, melodic rap, miami hip hop, rap, trap",Hip Hop,Back For Everything,2022-02-25,3:20,83,41,0,0,11,14,36,-7 db,73,D Major,10B,4,2022-04-08,1Y5Jvi3eLi4Chwqch9GMem
9 , Ghost,Justin Bieber,95,"canadian pop, pop",Pop,Justice,2021-03-19,2:33,60,74,19,0,44,5,42,-6 db,154,D Major,10B,4,2022-04-08,6I3mqTwhRpn34SLVafSH7G
10 , Woman,Doja Cat,97,"dance pop, pop",Pop,Planet Her,2021-06-25,2:52,82,76,9,0,88,9,12,-4 db,108,F Minor,4A,4,2022-04-08,6Uj1ctrBOjOas8xZXGqKk4
11 , Nail Tech,Jack Harlow,91,"deep underground hip hop, kentucky hip hop, rap",Hip Hop,Nail Tech,2022-02-18,3:26,65,58,0,0,11,9,12,-8 db,150,E Minor,9A,4,2022-04-08,62Yo3FDddWY8ydu6PW2wyz
12 , Knife Talk (with 21 Savage ft. Project Pat),"Drake,21 Savage,Project Pat",91,"canadian hip hop, canadian pop, hip hop, rap, toronto rap, atl hip hop, trap, crunk, dirty south rap, gangster rap, memphis hip hop, southern hip hop","Hip Hop, Pop, R&B",Certified Lover Boy,2021-09-03,4:02,85,42,6,0,15,32,8,-10 db,146,F Minor,4A,4,2022-04-08,2BcMwX1MPV6ZHP4tUT9uq6
13 , No Role Modelz,J. Cole,91,"conscious hip hop, hip hop, north carolina hip hop, rap",Hip Hop,2014 Forest Hills Drive,2014-12-09,4:52,69,52,32,0,49,34,5,-8 db,100,A#/B♭ Minor,3A,4,2022-04-08,68Dni7IE4VyPkTOH9mRWHr
14 , I Love You So,The Walters,96,chicago indie,Rock,I Love You So,2014-11-28,2:40,57,65,58,0,47,4,12,-5 db,76,A#/B♭ Major,6B,4,2022-04-08,4SqWKzw0CbA05TGszDgMlc
15 , Need to Know,Doja Cat,94,"dance pop, pop",Pop,Planet Her,2021-06-25,3:30,66,61,30,0,19,7,9,-7 db,130,C♯/D♭ Major,3B,4,2022-04-08,3Vi5XqYrmQgOYBajMWSvCi
16 , THATS WHAT I WANT,Lil Nas X,97,"lgbtq+ hip hop, pop","Hip Hop, Pop",MONTERO,2021-09-17,2:23,74,85,1,0,55,22,5,-5 db,88,C♯/D♭ Minor,12A,4,2022-04-08,0e8nrvls4Qqv5Rfa2UhqmO
17 , traitor,Olivia Rodrigo,94,pop,Pop,SOUR,2021-05-21,3:49,38,34,69,0,8,3,12,-8 db,101,D#/E♭ Major,5B,4,2022-04-08,5CZ40GBx1sQ9agT82CLQCT
18 , 505,Arctic Monkeys,87,"garage rock, permanent wave, rock, sheffield indie","Blues, Rock",Favourite Worst Nightmare (Standard Version),2007-04-24,4:13,52,85,0,0,23,5,7,-6 db,140,C Major,8B,4,2022-04-08,58ge6dfP91o9oXMzq3XkIS
19 , In My Head,Lil Tjay,86,"brooklyn drill, melodic rap, nyc rap",Hip Hop,In My Head,2022-04-01,2:15,68,55,16,0,41,12,10,-7 db,143,C♯/D♭ Major,3B,4,2022-04-08,1HvTxgCj0mTzQlEo0zLvFb
20 , Boyfriend,Dove Cameron,96,"pop, post-teen pop",Pop,Boyfriend,2022-02-11,2:33,35,61,23,0,23,6,19,-7 db,180,G Minor,6A,3,2022-04-08,59CfNbkERJ3NoTXDvoURjj
21 , Sweater Weather,The Neighbourhood,95,"modern alternative rock, modern rock, pop, shimmer pop","Rock, Pop",I Love You.,2013-04-19,4:00,61,81,5,2,40,3,10,-3 db,124,A#/B♭ Major,6B,4,2022-04-08,2QjOHCTQ1Jl3zawyYOpxh6
22 , Dark Red,Steve Lacy,92,"afrofuturism, pop","R&B, Pop",Dark Red,2017-02-20,2:53,60,78,45,0,78,6,12,-4 db,172,F#/G♭ Major,2B,4,2022-04-08,37y7iDayfwm3WXn5BiAoRk
23 , family ties (with Kendrick Lamar),"Baby Keem,Kendrick Lamar",83,"hip hop, rap, conscious hip hop, west coast rap",Hip Hop,The Melodic Blue,2021-09-10,4:12,71,61,1,0,14,33,23,-5 db,134,C♯/D♭ Major,3B,4,2022-04-08,3QFInJAm9eyaho5vBzxInN
24 , Kiss Me More (feat. SZA),"Doja Cat,SZA",90,"dance pop, pop, r&b","Pop, R&B",Planet Her,2021-06-25,3:28,76,71,26,0,78,3,12,-3 db,111,G#/A♭ Major,4B,4,2022-04-08,3DarAbFujv6eYNliUTyqtz
25 , When You're Gone,Shawn Mendes,88,"canadian pop, dance pop, pop, viral pop",Pop,When You're Gone,2022-03-31,2:52,60,69,2,0,58,4,58,-6 db,147,F Major,7B,4,2022-04-08,0U1W2LZVUX7qTm7dDpqxh6
26 , Cold Heart - PNAU Remix,"Elton John,Dua Lipa,PNAU",79,"glam rock, mellow gold, piano rock, dance pop, pop, uk pop, alternative dance, aussietronica, australian dance, australian electropop","Rock, Dance/Electronic, Pop",The Lockdown Sessions,2021-10-22,3:22,80,80,4,0,93,3,9,-6 db,116,C♯/D♭ Major,3B,4,2022-04-08,7rglLriMNBPAyuJOMGwi39
27 , See You Again (feat. Kali Uchis),"Tyler, The Creator,Kali Uchis",89,"hip hop, rap, colombian pop, dance pop, pop, r&b","Latin, Pop, Hip Hop, R&B",Flower Boy,2017-07-21,3:00,56,56,37,0,62,10,11,-9 db,79,F#/G♭ Major,2B,4,2022-04-08,7KA4W4McWYRpgf0fWsJZWB
28 , Happier Than Ever,Billie Eilish,93,"art pop, electropop, pop",Pop,Happier Than Ever,2021-07-30,4:58,33,23,77,0,30,3,13,-9 db,81,C Major,8B,3,2022-04-08,4RVwu0g32PAqgUiJoXsdF8
29 , deja vu,Olivia Rodrigo,92,pop,Pop,SOUR,2021-05-21,3:35,44,61,58,0,18,11,37,-7 db,181,D Major,10B,4,2022-04-08,6HU7h9RYOaPRFeh0R3UeAr
30 , Monëy so big,Yeat,89,pluggnb,,Up 2 Më,2021-09-10,2:40,69,57,12,0,35,9,10,-8 db,138,D Major,10B,4,2022-04-08,7BbaIYAdi3pg4MGl6PHwPv
31 , Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran",96,"dance pop, pop, post-teen pop, uk pop",Pop,Bam Bam (feat. Ed Sheeran),2022-03-04,3:26,76,70,18,0,96,4,33,-6 db,95,G#/A♭ Major,4B,4,2022-04-08,0QBzMgT7NIeoCYy3sJCof1
32 , pushin P (feat. Young Thug),"Gunna,Future,Young Thug",92,"atl hip hop, melodic rap, rap, trap, hip hop, pop rap, southern hip hop, atl trap, gangster rap",Hip Hop,DS4EVER,2022-01-13,2:16,77,42,1,1,49,19,13,-5 db,78,C♯/D♭ Minor,12A,1,2022-04-08,3XOalgusokruzA5ZBA2Qcb
33 , Shivers,Ed Sheeran,96,"pop, uk pop",Pop,=,2021-10-29,3:27,79,86,28,0,82,9,4,-3 db,141,D Major,10B,4,2022-04-08,50nfwKoDiSYg8zOCREWAm5
34 , abcdefu,GAYLE,100,modern alternative pop,Rock,abcdefu,2021-08-13,2:48,70,54,30,0,42,5,37,-6 db,122,E Major,12B,4,2022-04-08,4fouWK6XVHhzl78KzQ1UjL
35 , Lost,Frank Ocean,91,"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop","R&B, Hip Hop, Pop",channel ORANGE,2012-07-10,3:54,91,60,3,0,50,23,17,-5 db,123,G#/A♭ Major,4B,4,2022-04-08,3GZD6HmiNUhxXYf8Gch723
36 , drivers license,Olivia Rodrigo,94,pop,Pop,SOUR,2021-05-21,4:02,56,43,77,0,14,6,11,-9 db,144,A#/B♭ Major,6B,4,2022-04-08,5wANPM4fQCJwkGd4rN57mH
