#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , showdown,shadowraze,81,"russian drain, russian hip hop",Hip Hop,showdown,2022-03-04,2:00,71,63,4,3,38,13,9,-11 db,115,F#/G♭ Major,2B,4,2022-04-10,48fzAdCxamFYCHNXXLk6zn
2 , Kõk tu,"Irina Kairatovna,Shiza",54,"central asian hip hop, kazakh hip hop, kazakh pop, russian hip hop","Pop, Hip Hop",Kõk tu,2022-03-18,3:40,93,65,6,1,92,16,9,-7 db,137,F#/G♭ Major,2B,4,2022-04-10,1tVJ6OAOSN5D7e0kwrhdqc
3 , astral step,shadowraze,79,"russian drain, russian hip hop",Hip Hop,astral step,2021-10-29,2:01,80,62,1,0,69,29,10,-7 db,95,G Major,9B,4,2022-04-10,47iHvzU9Po0e6raFlgLBOF
4 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-10,4LRPiXqCikLlN15c3yImP7
5 , Селяви,MORGENSHTERN,59,"russian hip hop, russian trap","Hip Hop, Latin",Селяви,2022-04-08,2:40,90,44,8,0,33,7,22,-9 db,100,F Major,7B,4,2022-04-10,3SOHFsSinxM6flLceYl5BT
6 , Heat Waves,Glass Animals,95,"gauze pop, indietronica, shiver pop","Pop, Rock",Dreamland (+ Bonus Levels),2020-08-06,3:58,76,53,44,0,53,9,9,-7 db,81,B Major,1B,4,2022-04-10,02MWAaffLxlfxAUY7c5dvx
7 , Sweater Weather,The Neighbourhood,93,"modern alternative rock, modern rock, pop, shimmer pop","Rock, Pop",I Love You.,2013-04-19,4:00,61,81,5,2,40,3,10,-3 db,124,A#/B♭ Major,6B,4,2022-04-10,2QjOHCTQ1Jl3zawyYOpxh6
8 , MIDDLE OF THE NIGHT,Elley Duhé,96,"alt z, pop",Pop,MIDDLE OF THE NIGHT,2020-01-10,3:04,41,61,2,0,9,5,12,-8 db,186,E Minor,9A,3,2022-04-10,58HvfVOeJY7lUuCqF0m3ly
9 , Лёд,"WENARO,LXNER",75,"russian drain, hyperpop, russian hip hop","Pop, Hip Hop",Лёд,2021-07-12,2:32,64,79,17,0,95,6,16,-8 db,172,G#/A♭ Major,4B,4,2022-04-10,7D8k995g6jdie4NF1E7Tpu
10 , Another Love,Tom Odell,58,"chill pop, pop",Pop,Long Way Down,2013-06-17,4:04,44,54,72,0,14,5,9,-9 db,123,E Minor,9A,4,2022-04-10,7jtQIBanIiJOMS6RyCx6jZ
11 , ярче звёзд,ПОЛМАТЕРИ,63,,,иван марголдин президент россии,2020-08-18,2:47,45,91,2,0,26,5,19,-4 db,115,F#/G♭ Major,2B,4,2022-04-10,4CK9NEdPWB6rJ8N6BU20pN
12 , ЛАБИРИНТ,FACE,72,"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap","Pop, Hip Hop, Latin",12,2019-10-01,2:49,87,72,21,0,91,14,18,-6 db,138,E Minor,9A,4,2022-04-10,7biChppM3c8q7qcVl7ceb2
13 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",89,"modern rock, rock, hip hop, rap, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-10,1HhNoOuqm1a5MXYEgAFl8o
14 , 5000,Irina Kairatovna,61,"central asian hip hop, kazakh hip hop, kazakh pop, russian hip hop","Pop, Hip Hop",13 ВЫПУСК,2020-10-30,3:14,78,55,4,0,59,44,9,-9 db,210,G#/A♭ Major,4B,4,2022-04-10,4SoNwm8ceBTUWdE5Ua5dxF
