#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , Crying in the Rain,Ali Gatie,71,"canadian hip hop, pop","Hip Hop, Pop",Crying in the Rain,2022-03-04,2:35,60,51,30,0,14,4,7,-8 db,118,C♯/D♭ Major,3B,4,2022-04-12,134G2m5YsPiZXFOduHEfSJ
2 , Селяви,MORGENSHTERN,64,"russian hip hop, russian trap","Hip Hop, Latin",Селяви,2022-04-08,2:40,90,44,8,0,33,7,22,-9 db,100,F Major,7B,4,2022-04-12,3SOHFsSinxM6flLceYl5BT
3 , showdown,shadowraze,80,"russian drain, russian hip hop",Hip Hop,showdown,2022-03-04,2:00,71,63,4,3,38,13,9,-11 db,115,F#/G♭ Major,2B,4,2022-04-12,48fzAdCxamFYCHNXXLk6zn
4 , RAVE,Dxrk ダーク,67,drift phonk,,RAVE,2022-03-18,2:49,72,75,24,85,34,4,11,-6 db,120,G#/A♭ Major,4B,4,2022-04-12,01kfSdF9zfcDLri5sSWEoL
5 , astral step,shadowraze,78,"russian drain, russian hip hop",Hip Hop,astral step,2021-10-29,2:01,80,62,1,0,69,29,10,-7 db,95,G Major,9B,4,2022-04-12,47iHvzU9Po0e6raFlgLBOF
6 , Зелёный глаз,Минин,65,,,Зелёный глаз,2022-02-11,1:54,78,42,62,0,27,8,10,-11 db,135,E Minor,9A,4,2022-04-12,4ZOjdqmXLuwHDQUn9WWoFR
7 , ярче звёзд,ПОЛМАТЕРИ,62,,,иван марголдин президент россии,2020-08-18,2:47,45,91,2,0,26,5,19,-4 db,115,F#/G♭ Major,2B,4,2022-04-12,4CK9NEdPWB6rJ8N6BU20pN
8 , ЛАБИРИНТ,FACE,71,"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap","Pop, Hip Hop, Latin",12,2019-10-01,2:49,87,72,21,0,91,14,18,-6 db,138,E Minor,9A,4,2022-04-12,7biChppM3c8q7qcVl7ceb2
9 , Лёд,"WENARO,LXNER",74,"russian drain, hyperpop, russian hip hop","Pop, Hip Hop",Лёд,2021-07-12,2:32,64,79,17,0,95,6,16,-8 db,172,G#/A♭ Major,4B,4,2022-04-12,7D8k995g6jdie4NF1E7Tpu
10 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-12,4LRPiXqCikLlN15c3yImP7
11 , МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,73,"russian dance, russian hip hop, russian pop","Dance/Electronic, Hip Hop, Pop",МАЛИНОВАЯ ЛАДА,2021-10-22,3:33,76,88,6,0,82,4,23,-5 db,117,E Minor,9A,4,2022-04-12,77B4S4jkrAkL3Ng5hEHoUU
12 , Фотографирую закат,fem.love,73,"russian drain, russian hip hop",Hip Hop,Фотографирую закат,2020-06-22,2:36,41,90,0,0,40,6,17,-3 db,160,F#/G♭ Major,2B,4,2022-04-12,1ghdJUMhmLEpUitNwyNMWH
13 , adaptive strike,"shadowraze,LXNER,quiizzzmeow",74,"russian drain, russian hip hop, hyperpop, russian emo rap, russian hyperpop","Pop, Hip Hop",adaptive strike,2022-02-11,2:16,80,82,19,0,39,5,10,-7 db,102,C♯/D♭ Major,3B,4,2022-04-12,5jXocrsUwpKwWyI5BZLKFA
14 , Днями-ночами,"pyrokinesis,MUKKA",68,"russian alt pop, russian hip hop, russian underground rap","Dance/Electronic, Hip Hop",Днями-ночами,2020-03-19,3:17,56,88,18,0,31,6,26,-2 db,180,A Major,11B,4,2022-04-12,04gmklgYhNhZxRnAvSofoE
15 , Another Love,Tom Odell,57,"chill pop, pop",Pop,Long Way Down,2013-06-17,4:04,44,54,72,0,14,5,9,-9 db,123,E Minor,9A,4,2022-04-12,7jtQIBanIiJOMS6RyCx6jZ
16 , MIDDLE OF THE NIGHT,Elley Duhé,95,"alt z, pop",Pop,MIDDLE OF THE NIGHT,2020-01-10,3:04,41,61,2,0,9,5,12,-8 db,186,E Minor,9A,3,2022-04-12,58HvfVOeJY7lUuCqF0m3ly
17 , 12,MORGENSHTERN,70,"russian hip hop, russian trap","Hip Hop, Latin",12,2022-03-14,3:00,80,56,56,0,57,28,9,-10 db,144,E Minor,9A,4,2022-04-12,2B9N1fCinwxEo89GcDGB5I
18 , never enough,zxcursed,70,,,never enough,2022-03-13,2:22,65,83,2,0,56,24,30,-6 db,132,C Major,8B,4,2022-04-12,48jRCynldeK3WQbvd3jr73
19 , Домино,FACE,68,"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap","Pop, Hip Hop, Latin",Искренний,2021-04-08,3:18,84,54,7,4,44,5,10,-9 db,134,B Major,1B,4,2022-04-12,6GyZQ9o0dBU9V0NIjGPz2r
20 , Marmalade,"Miyagi & Andy Panda,Mav-d",71,"russian hip hop,",Hip Hop,Marmalade,2021-11-19,3:40,73,51,57,0,51,5,12,-9 db,110,A#/B♭ Minor,3A,4,2022-04-12,7rvEwAILTqxBpdIyUifkE8
21 , 99 Problems,"Big Baby Tape,kizaru",71,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:39,95,45,2,0,18,10,7,-9 db,100,A Major,11B,4,2022-04-12,0r9fpWPI6z3V3YZXIiVaNC
22 , Bandana,"Big Baby Tape,kizaru",71,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:31,75,58,1,4,35,3,17,-6 db,103,F Major,7B,4,2022-04-12,16AzcbKli3UQsxj491hJLQ
23 , плачь,"rizza,Sqwore",71,"russian drain, russian hip hop, russian hyperpop",Hip Hop,плачь,2021-08-27,1:56,66,83,30,0,55,23,12,-4 db,157,E Minor,9A,4,2022-04-12,3yCKABoZU3FVFuyVBc5VlM
24 , ТОЛПЫ КРИЧАТ,"uniqe,nkeeei,ARTEM SHILOVETS",71,"russian hip hop,",Hip Hop,ТОЛПЫ КРИЧАТ,2021-09-28,2:05,90,38,70,0,70,24,9,-7 db,130,D#/E♭ Minor,2A,4,2022-04-12,3mcw4dkjfzj5B4Ago9NSmN
25 , shadowfiend,shadowraze,72,"russian drain, russian hip hop",Hip Hop,shadowfiend,2020-09-30,2:23,63,80,5,45,66,8,11,-6 db,178,A#/B♭ Minor,3A,5,2022-04-12,0xEET0hVtwAEI5iVMWmD5C
26 , Yeyo!,Шайни,71,"russian drain, russian hip hop, russian hyperpop",Hip Hop,Yeyo!,2022-02-11,1:51,72,80,10,0,44,6,12,-9 db,138,A Major,11B,4,2022-04-12,4jvw60Iw8LpSRJwy1sOmoB
27 , Седьмой лепесток,Антон Токарев,68,,,Седьмой лепесток,2021-12-14,3:19,65,43,1,0,16,3,11,-11 db,101,A#/B♭ Minor,3A,4,2022-04-12,6P4SAsG3RuIeGymX2Qou9L
28 , SHAKE,INSTASAMKA,65,"russian hip hop, zhenskiy rep",Hip Hop,SHAKE,2022-03-25,2:11,91,59,2,0,46,21,6,-6 db,87,C♯/D♭ Major,3B,4,2022-04-12,6ljlpspxptHxDmYfR3NW2O
29 , Million,"Big Baby Tape,kizaru",70,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:14,87,68,3,0,72,22,27,-5 db,165,F#/G♭ Major,2B,4,2022-04-12,4umjgYILQbHyV41ZmaemQm
30 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",88,"modern rock, rock, hip hop, rap, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-12,1HhNoOuqm1a5MXYEgAFl8o
31 , Я хочу тебя трахать,"Scally Milano,uglystephan",58,"russian hip hop, russian drain, russian viral rap, zxc",Hip Hop,Я хочу тебя трахать,2022-04-01,2:24,77,60,18,0,75,17,7,-5 db,136,C♯/D♭ Major,3B,4,2022-04-12,72aOn2zEIaEOOyOVGdpl8Z
32 , juggernaut (Prod. by PLVSTIC),shadowraze,72,"russian drain, russian hip hop",Hip Hop,juggernaut (Prod. by PLVSTIC),2021-08-13,2:16,70,66,0,0,59,23,26,-8 db,93,G Major,9B,4,2022-04-12,57V0VhEg1CAkPXeaCLikNW
33 , Отпускаю,"Egor Kreed,MakSim",69,"russian hip hop, russian pop","Hip Hop, Pop",Отпускаю,2022-02-11,3:12,69,65,22,0,17,4,21,-6 db,125,C Minor,5A,4,2022-04-12,0vkYzoY1ukPTWAqD4yuCXL
34 , Close Eyes,"Chego1963,onurxt,Rylixe",19,"new school turkce rap,",,Close Eyes,2020-02-13,2:12,78,54,7,73,22,7,14,-10 db,96,C Major,8B,4,2022-04-12,7BNWWI6aZPLkYCfRat8HuD
35 , Aomine Daiki,quiizzzmeow,70,"russian drain, russian emo rap, russian hip hop, russian hyperpop",Hip Hop,Aomine Daiki,2021-10-05,2:47,51,82,3,0,16,5,36,-6 db,82,C♯/D♭ Major,3B,4,2022-04-12,5X1FYw7MXEgnPmQAYwAa0q
36 , bankai,zxcursed,61,,,bankai,2022-04-01,1:57,54,91,20,0,71,15,38,-6 db,156,A#/B♭ Major,6B,4,2022-04-12,6tlU1yG1HdSrbbbfQN3NH3
37 , первое свидание,Alyona Shvets,70,"russian alt pop, russian indie",Dance/Electronic,первое свидание,2020-12-04,2:32,76,50,69,0,61,11,16,-10 db,85,B Minor,10A,4,2022-04-12,4tPB6H0QcK4bDib8iauE28
38 , ВЛЮБИЛАСЬ,"Big Baby Tape,Молодой Платон",68,"russian hip hop, russian trap, russian drill","Hip Hop, Latin",ВЛЮБИЛАСЬ,2021-12-16,3:36,85,77,5,0,46,4,8,-4 db,100,G#/A♭ Major,4B,4,2022-04-12,3bbkkPpf8AdRU6DurnvoC4
39 , Sweater Weather,The Neighbourhood,92,"modern alternative rock, modern rock, pop, shimmer pop","Rock, Pop",I Love You.,2013-04-19,4:00,61,81,5,2,40,3,10,-3 db,124,A#/B♭ Major,6B,4,2022-04-12,2QjOHCTQ1Jl3zawyYOpxh6
40 , After Dark,Mr.Kitty,77,weirdcore,,Time,2014-08-08,4:17,58,60,7,41,4,3,8,-10 db,140,G#/A♭ Major,4B,4,2022-04-12,0zCgWGmDF0aih5qexATyBn
41 , Гармония,Artik & Asti,67,"russian dance, russian pop","Dance/Electronic, Pop",Гармония,2022-01-21,2:54,76,73,30,0,47,7,18,-5 db,114,G Major,9B,3,2022-04-12,7K0YWcVSyaMN4TaLw2Icd4
42 , В диапазоне,Pornofilmy,66,"russian alt pop, russian pop punk, russian punk, russian punk rock, russian rock","Dance/Electronic, Latin, Rock",В диапазоне между отчаянием и надеждой,2017-09-28,5:31,49,91,0,0,25,11,8,-4 db,168,E Major,12B,4,2022-04-12,1cmIuauHOxvxzTCFXFnNRL
43 , Рассвет,КАКАЯ РАЗНИЦА,66,russian drain,,Рассвет,2020-05-31,2:04,55,83,1,0,18,6,7,-7 db,100,F Major,7B,4,2022-04-12,0VGLb6IeeG5ZqonN5EavDu
44 , Ау,"10AGE,Ramil'",67,"russian hip hop, russian pop","Hip Hop, Pop",Ау,2019-03-21,3:00,72,43,69,0,28,26,10,-10 db,146,A#/B♭ Minor,3A,4,2022-04-12,6RmlamfS2Supq8wARlY0QQ
45 , Heat Waves,Glass Animals,94,"gauze pop, indietronica, shiver pop","Pop, Rock",Dreamland (+ Bonus Levels),2020-08-06,3:58,76,53,44,0,53,9,9,-7 db,81,B Major,1B,4,2022-04-12,02MWAaffLxlfxAUY7c5dvx
