#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , Złote Tarasy,"Mr. Polska,Abel de Jong",68,"dutch hip hop, polish hip hop, polish trap",Hip Hop,Złote Tarasy,2022-04-08,2:26,88,60,52,0,93,33,29,-7 db,127,G Minor,6A,4,2022-04-13,0dorKIz071s55Jy0zxb4aW
2 , Trójkąt Bermudzki,"Sentino,Nitro,MASNY BEN,mgng",26,"polish hip hop, polish viral rap",Hip Hop,Megalomania,2022-04-12,3:45,65,84,32,0,63,17,21,-5 db,128,C♯/D♭ Major,3B,4,2022-04-13,3xyEgP4dQbnQtLoYDCKzEv
3 , Jeżyk!,Oki,54,polish hip hop,Hip Hop,Jeżyk!,2022-04-11,3:28,73,64,4,0,52,14,32,-7 db,136,A Major,11B,4,2022-04-13,05vIFEbXYpmGOsLgWZVJCX
4 , Szary świat,"sanah,Kwiat Jabłoni",76,"polish pop, polish alternative","New age, Pop",Szary świat,2022-03-17,3:23,70,49,24,0,21,4,9,-12 db,121,C♯/D♭ Major,3B,4,2022-04-13,7kHDzIjrqGw529abmoVgAa
5 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-13,4LRPiXqCikLlN15c3yImP7
6 , Robotniczy Trap,"Young Igi,Żabson",70,"polish hip hop, polish trap",Hip Hop,amfisbena (DELUXE),2022-03-10,2:11,85,81,3,0,50,30,6,-6 db,164,B Major,1B,4,2022-04-13,0Vm4VKVkSvKLyAHm6XWrfx
7 , Lot,"Kizo,Wac Toja,BeMelo",64,"polish hip hop, polish trap,",Hip Hop,Lot,2022-04-06,2:47,74,91,5,0,71,11,11,-6 db,135,B Major,1B,4,2022-04-13,00h3UmLzktuyywU2faS7os
8 , Lato,Sentino,36,"polish hip hop, polish viral rap",Hip Hop,Megalomania,2022-04-12,2:58,78,73,52,0,64,9,7,-8 db,145,D#/E♭ Minor,2A,4,2022-04-13,0oF40HEGBYbYQufEtB81BM
9 , Lawenda,"SB Maffija,White 2115,Białas,Kinny Zimmer,Bedoes,Pedro,francis",67,"polish hip hop, polish trap,",Hip Hop,Hotel Maffija 2,2022-01-28,3:34,64,54,66,0,59,5,12,-8 db,75,A Major,11B,4,2022-04-13,1kuw8HFbvgAg3tNqPj00Mb
10 , Eldorado,"sanah,Daria Zawiałow",63,"polish pop, polish alternative, polish indie","New age, R&B, Pop",Eldorado,2022-04-07,4:11,54,74,4,7,31,3,11,-8 db,138,F#/G♭ Minor,11A,4,2022-04-13,0T0eGJ5vdF4ggbap2zAXmt
11 , Narcyz,Chivas,74,"polish hip hop, polish trap",Hip Hop,Narcyz,2022-03-20,2:24,81,67,39,0,92,7,23,-6 db,105,C♯/D♭ Major,3B,4,2022-04-13,0tTy9lib8CQg7mwFF6lBbD
12 , Jetlag (feat. The Plug),"Malik Montana,DaChoyce,SRNO,The Plug",76,"polish hip hop, polish trap, dutch hip hop, dutch rap pop, uk drill, uk hip hop","Hip Hop, Pop",Jetlag (feat. The Plug),2022-02-06,2:06,82,51,12,0,52,33,51,-7 db,125,G Major,9B,4,2022-04-13,2jG3STVcZ9fjYlhXPi7nJ1
13 , Brudasy With Attitude (feat. Farid Bang),"Malik Montana,Farid Bang",70,"polish hip hop, polish trap, german hip hop",Hip Hop,Brudasy With Attitude (feat. Farid Bang),2022-04-01,2:31,92,47,17,0,54,32,7,-8 db,128,C♯/D♭ Major,3B,4,2022-04-13,6q5Bx8Jm9yZC7tmI3leDOi
14 , dres,"Miszel,Kabe",66,"polish alternative rap, polish hip hop, polish trap","New age, Hip Hop",dres,2022-04-01,2:55,65,55,8,0,72,7,32,-11 db,146,G#/A♭ Major,4B,4,2022-04-13,2JMzBOrwlTJFEKOea1uarD
15 , Polski Karnawał,"Young Igi,Żabson",63,"polish hip hop, polish trap",Hip Hop,amfisbena (DELUXE),2022-03-10,2:27,85,76,17,0,83,16,6,-7 db,130,F#/G♭ Major,2B,4,2022-04-13,6QzEN3q6NpVFdxktMj427g
16 , Pakuje Walize,"Dawid, Artysta,Vłodarski,VHS,Zebraodzawsze,zawad",67,"polish viral rap,",,Pakuje Walize,2022-03-09,2:34,97,39,25,0,91,14,13,-11 db,120,C Major,8B,4,2022-04-13,7CRfTE9FGb9YdSvoGhl2IP
17 , Proste fakty,"SB Maffija,Bedoes,White 2115,Kuqe 2115,flexxy2115,BLACHA,Kubi Producent",74,"polish hip hop, polish trap",Hip Hop,Proste fakty,2022-01-28,3:38,72,71,28,0,79,19,15,-5 db,144,A Major,11B,4,2022-04-13,6IVFyySW33VfordEuGDPHk
18 , Sen we śnie,"sanah,Grzegorz Turnau",69,"polish pop, classic polish pop, poezja spiewana, sung poetry","Pop, World/Traditional, Dance/Electronic",Sen we śnie,2022-03-31,3:27,43,27,84,0,27,4,15,-12 db,119,C Minor,5A,4,2022-04-13,7EuS4txsabaZyF5mkixLAj
19 , Człowiek Motyl,"Szpaku,LEEO",63,"polish hip hop,",Hip Hop,Dom Dla Zmyślonych Przyjaciół Pana Mateusza,2022-04-06,3:04,56,62,57,0,40,17,13,-10 db,126,D Major,10B,4,2022-04-13,6D5keZsDGF0r5q4Nj73KAZ
20 , PIĄTEK WIECZÓR,"Jacuś,Young Leosia",70,"polish hip hop, polish pop","Hip Hop, Pop",PIĄTEK WIECZÓR,2022-03-17,3:16,74,88,25,0,55,9,45,-4 db,125,G Major,9B,4,2022-04-13,38ryCMNFOZ6GW5udIFnQI7
21 , Tęsknię sobie,"sanah,Artur Rojek",70,"polish pop, polish alternative, polish indie","New age, R&B, Pop",Tęsknię sobie,2022-03-24,4:49,48,41,74,0,18,5,9,-10 db,95,G Major,9B,4,2022-04-13,2XrxfDmGGAkU14vQ9QVJeb
22 , Duże Oczy,"Smolasty,francis,Pedro,Tribbs",72,"polish hip hop, polish pop, polish trap,","Hip Hop, Pop",Duże Oczy,2021-08-05,2:48,79,72,33,0,51,23,12,-7 db,128,D Minor,7A,4,2022-04-13,0O4OIQKow8DloWa7UzIgyd
