#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , haluun takas mun perhoset,pehmoaino,65,finnish pop,Pop,kaukana kotoa,2022-03-11,3:10,56,57,84,5,73,5,11,-10 db,139,F Minor,4A,3,2022-04-16,3bIKi7iQ8lnX5oA8xILBon
2 , Ram pam pam,BESS,67,"finnish dance pop, finnish hip hop, finnish pop","Dance/Electronic, Hip Hop, Pop",Ram pam pam,2022-01-13,2:59,71,92,1,0,92,6,9,-6 db,140,E Minor,9A,4,2022-04-16,55qPuI6NekVyNPM6kh5DN4
3 , Bändäri,"Pihlaja,Etta",64,"finnish dance pop, finnish hip hop, finnish pop","Dance/Electronic, Hip Hop, Pop",Ei bändäreit - EP,2022-03-25,2:35,75,72,4,0,57,4,10,-6 db,120,F Minor,4A,4,2022-04-16,3TC6Z4oLl3AYL1Vd7PtDr4
4 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-16,4LRPiXqCikLlN15c3yImP7
5 , Mon Ami,T Swoop,61,finnish drill,,Mon Ami,2022-03-25,3:08,91,62,4,0,65,5,12,-5 db,126,B Major,1B,4,2022-04-16,1SllLQv2tfIlgtYXO5edRM
6 , City (feat. A36),"Cledos,A36",58,"finnish dance pop, finnish hip hop, finnish trap, swedish hip hop, swedish trap pop","Dance/Electronic, Hip Hop",City (feat. A36),2022-04-08,2:36,84,65,0,15,51,6,9,-8 db,115,D Major,10B,4,2022-04-16,3o3L7pnXxyytOVPYJOm93W
7 , First Class,Jack Harlow,93,"deep underground hip hop, kentucky hip hop, rap",Hip Hop,First Class,2022-04-08,2:53,91,56,3,0,32,10,11,-6 db,107,G#/A♭ Major,4B,4,2022-04-16,1rDQ4oMwGJI7B4tovsBOxc
8 , Elämän ABC,Portion Boys,61,finnish dance pop,Dance/Electronic,Elämän ABC,2022-03-18,3:42,59,91,0,0,90,4,45,-5 db,130,G Minor,6A,4,2022-04-16,7ffZ0iPT1UQvgm4e1KsaDC
9 , Pohjola,Olli Halonen,63,,,Pohjola,2021-05-14,2:55,63,83,9,0,60,4,24,-7 db,104,B Minor,10A,4,2022-04-16,6YFcvJlcgQceRfJrVpmJa0
10 , Tähti,Fabe,63,"finnish dance pop, finnish hip hop, finnish pop, suomirap","Dance/Electronic, Hip Hop, Pop, World/Traditional",Tähti,2022-03-04,2:13,80,53,8,0,60,5,8,-6 db,83,F#/G♭ Minor,11A,4,2022-04-16,7tv9J2xwmdg0SoZ4QbQEBD
11 , Pahemmaks,Mouhous,21,"finnish dance pop, finnish hip hop, finnish pop","Dance/Electronic, Hip Hop, Pop",Pahemmaks,2022-04-15,2:54,85,80,33,0,82,8,7,-5 db,125,D Major,10B,4,2022-04-16,7mazUF8Cqwi3TUZw1ypDoJ
12 , edamame (feat. Rich Brian) - JVG x NCO Remix,"bbno$,JVG,NCO,Rich Brian",62,"canadian hip hop, dark trap, vapor trap, finnish dance pop, finnish hip hop, finnish pop, finnish trap, indonesian hip hop","Hip Hop, Dance/Electronic, Pop",edamame (feat. Rich Brian) [JVG x NCO Remix],2022-03-08,2:53,79,80,2,0,64,13,6,-5 db,106,C Major,8B,4,2022-04-16,0E4KuyQA4hHbhHUsc9G7zO
13 , 666,Kiki,62,finnish pop,Pop,666,2021-10-15,2:57,58,77,17,0,48,3,20,-4 db,140,C♯/D♭ Minor,12A,4,2022-04-16,7aP68E6dMvQ54Mu41Omke4
