#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-16,4LRPiXqCikLlN15c3yImP7
2 , Heat Waves,Glass Animals,93,"gauze pop, indietronica, shiver pop","Pop, Rock",Dreamland (+ Bonus Levels),2020-08-06,3:58,76,53,44,0,53,9,9,-7 db,81,B Major,1B,4,2022-04-16,02MWAaffLxlfxAUY7c5dvx
3 , First Class,Jack Harlow,93,"deep underground hip hop, kentucky hip hop, rap",Hip Hop,First Class,2022-04-08,2:53,91,56,3,0,32,10,11,-6 db,107,G#/A♭ Major,4B,4,2022-04-16,1rDQ4oMwGJI7B4tovsBOxc
4 , RAVE,Dxrk ダーク,72,drift phonk,,RAVE,2022-03-18,2:49,72,75,24,85,34,4,11,-6 db,120,G#/A♭ Major,4B,4,2022-04-16,01kfSdF9zfcDLri5sSWEoL
5 , Cold Heart - PNAU Remix,"Elton John,Dua Lipa,PNAU",75,"glam rock, mellow gold, piano rock, dance pop, pop, uk pop, alternative dance, aussietronica, australian dance, australian electropop","Rock, Dance/Electronic, Pop",The Lockdown Sessions,2021-10-22,3:22,80,80,4,0,93,3,9,-6 db,116,C♯/D♭ Major,3B,4,2022-04-16,7rglLriMNBPAyuJOMGwi39
6 , Where Are You Now,"Lost Frequencies,Calum Scott",93,"belgian edm, edm, pop, pop dance, tropical house, neo mellow","Dance/Electronic, Folk/Acoustic, Pop",Where Are You Now,2021-07-30,2:28,67,64,52,0,26,10,17,-8 db,121,F#/G♭ Minor,11A,4,2022-04-16,3uUuGVFu1V7jTQL60S1r8z
7 , Šokam Lėtai,Jessica Shy,46,lithuanian pop,Pop,Apkabinti Prisiminimus,2022-01-25,2:36,76,62,26,0,51,3,25,-8 db,100,A Minor,8A,4,2022-04-16,149qQkZez6yujONJspKw7U
8 , The Motto,"Tiësto,Ava Max",92,"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house","Dance/Electronic, Pop",The Motto,2021-11-04,2:44,75,76,3,0,46,4,9,-5 db,118,G Minor,6A,4,2022-04-16,18asYwWugKjjsihZ0YvRxO
9 , MIDDLE OF THE NIGHT,Elley Duhé,94,"alt z, pop",Pop,MIDDLE OF THE NIGHT,2020-01-10,3:04,41,61,2,0,9,5,12,-8 db,186,E Minor,9A,3,2022-04-16,58HvfVOeJY7lUuCqF0m3ly
10 , Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran",73,"dance pop, pop, post-teen pop, uk pop",Pop,Familia,2022-04-07,3:26,76,70,18,0,96,4,33,-6 db,95,G#/A♭ Major,4B,4,2022-04-16,2DB4DdfCFMw1iaR6JaR03a
11 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",87,"modern rock, rock, hip hop, rap, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-16,1HhNoOuqm1a5MXYEgAFl8o
12 , Woman,Doja Cat,94,"dance pop, pop",Pop,Planet Her,2021-06-25,2:52,82,76,9,0,88,9,12,-4 db,108,F Minor,4A,4,2022-04-16,6Uj1ctrBOjOas8xZXGqKk4
13 , Softcore,The Neighbourhood,90,"modern alternative rock, modern rock, pop","Rock, Pop",Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,3:26,57,57,5,0,37,3,29,-6 db,94,A Minor,8A,4,2022-04-16,2K7xn816oNHJZ0aVqdQsha
14 , Sentimentai,Monika LIU,59,"lithuanian indie, lithuanian pop","Jazz, Pop",Sentimentai,2022-01-18,3:00,68,56,9,0,50,3,31,-8 db,93,C Major,8B,4,2022-04-16,0JNPmXGU9K9DJpV9eHppZz
15 , Rugpjūtis,"Justinas Jarutis,Jessica Shy",48,lithuanian pop,Pop,Rugpjūtis,2021-07-09,2:42,79,94,4,0,86,4,10,-5 db,140,C♯/D♭ Major,3B,4,2022-04-16,2psbE7Ds01Xz2MaMIk7APk
16 , Shivers,Ed Sheeran,93,"pop, uk pop",Pop,=,2021-10-29,3:27,79,86,28,0,82,9,4,-3 db,141,D Major,10B,4,2022-04-16,50nfwKoDiSYg8zOCREWAm5
17 , STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber",91,"australian hip hop, canadian pop, pop","Hip Hop, Pop",F*CK LOVE 3: OVER YOU,2021-07-23,2:21,59,76,4,0,48,5,10,-5 db,170,C♯/D♭ Major,3B,4,2022-04-16,5PjdY0CKGZdEuoNab3yDmX
18 , Sweater Weather,The Neighbourhood,91,"modern alternative rock, modern rock, pop","Rock, Pop",I Love You.,2013-04-19,4:00,61,81,5,2,40,3,10,-3 db,124,A#/B♭ Major,6B,4,2022-04-16,2QjOHCTQ1Jl3zawyYOpxh6
19 , INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X,Jack Harlow",88,"lgbtq+ hip hop, pop, deep underground hip hop, kentucky hip hop, rap","Hip Hop, Pop",MONTERO,2021-09-17,3:32,74,69,2,0,89,7,5,-7 db,150,A#/B♭ Minor,3A,4,2022-04-16,5Z9KJZvQzH6PFmb8SNkxuk
20 , Won't Forget You - Edit,Shouse,78,aussietronica,Dance/Electronic,Won't Forget You,2022-02-04,3:50,66,66,2,1,56,2,10,-7 db,127,G Minor,6A,4,2022-04-16,3I10tZ5MgEMo4WryCNJkZQ
21 , Vasarą galvoj minoras,Katarsis,49,"lithuanian indie, lithuanian pop","Jazz, Pop",Vasarą galvoj minoras,2020-10-14,3:24,64,28,96,46,28,6,11,-16 db,120,A#/B♭ Major,6B,4,2022-04-16,1wGPGvj0moDoKMMVwFWFLj
22 , Another Love,Tom Odell,56,"chill pop, pop",Pop,Long Way Down,2013-06-17,4:04,44,54,72,0,14,5,9,-9 db,123,E Minor,9A,4,2022-04-16,7jtQIBanIiJOMS6RyCx6jZ
23 , abcdefu,GAYLE,95,modern alternative pop,Rock,abcdefu,2021-08-13,2:48,70,54,30,0,42,5,37,-6 db,122,E Major,12B,4,2022-04-16,4fouWK6XVHhzl78KzQ1UjL
24 , 505,Arctic Monkeys,83,"garage rock, permanent wave, rock, sheffield indie","Blues, Rock",Favourite Worst Nightmare (Standard Version),2007-04-24,4:13,52,85,0,0,23,5,7,-6 db,140,C Major,8B,4,2022-04-16,58ge6dfP91o9oXMzq3XkIS
25 , Bad Habits,Ed Sheeran,93,"pop, uk pop",Pop,=,2021-10-29,3:50,81,89,5,0,54,3,37,-4 db,126,B Minor,10A,4,2022-04-16,3rmo8F54jFF8OgYsqTxm5d
26 , THATS WHAT I WANT,Lil Nas X,93,"lgbtq+ hip hop, pop","Hip Hop, Pop",MONTERO,2021-09-17,2:23,74,85,1,0,55,22,5,-5 db,88,C♯/D♭ Minor,12A,4,2022-04-16,0e8nrvls4Qqv5Rfa2UhqmO
27 , Revenge,XXXTENTACION,87,"emo rap, miami hip hop",Hip Hop,17,2017-08-25,2:00,75,25,78,0,18,26,11,-16 db,140,B Minor,10A,4,2022-04-16,5TXDeTFVRVY7Cvt0Dw4vWW
