#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-26,4LRPiXqCikLlN15c3yImP7
2 , First Class,Jack Harlow,94,"deep underground hip hop, kentucky hip hop, rap",Hip Hop,First Class,2022-04-08,2:53,91,56,3,0,32,10,11,-6 db,107,G#/A♭ Major,4B,4,2022-04-26,1rDQ4oMwGJI7B4tovsBOxc
3 , Heat Waves,Glass Animals,91,"gauze pop, indietronica, shiver pop","Pop, Rock",Dreamland (+ Bonus Levels),2020-08-06,3:58,76,53,44,0,53,9,9,-7 db,81,B Major,1B,4,2022-04-26,02MWAaffLxlfxAUY7c5dvx
4 , MIDDLE OF THE NIGHT,Elley Duhé,92,"alt z, pop",Pop,MIDDLE OF THE NIGHT,2020-01-10,3:04,41,61,2,0,9,5,12,-8 db,186,E Minor,9A,3,2022-04-26,58HvfVOeJY7lUuCqF0m3ly
5 , Another Love,Tom Odell,54,"chill pop, pop",Pop,Long Way Down,2013-06-17,4:04,44,54,72,0,14,5,9,-9 db,123,E Minor,9A,4,2022-04-26,7jtQIBanIiJOMS6RyCx6jZ
6 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",85,"modern rock, rock, hip hop, rap, underground hip hop, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-26,1HhNoOuqm1a5MXYEgAFl8o
7 , Sweater Weather,The Neighbourhood,89,"modern alternative rock, modern rock, pop, shimmer pop","Rock, Pop",I Love You.,2013-04-19,4:00,61,81,5,2,40,3,10,-3 db,124,A#/B♭ Major,6B,4,2022-04-26,2QjOHCTQ1Jl3zawyYOpxh6
8 , Where Are You Now,"Lost Frequencies,Calum Scott",91,"belgian edm, edm, pop, pop dance, tropical house, neo mellow","Dance/Electronic, Folk/Acoustic, Pop",Where Are You Now,2021-07-30,2:28,67,64,52,0,26,10,17,-8 db,121,F#/G♭ Minor,11A,4,2022-04-26,3uUuGVFu1V7jTQL60S1r8z
9 , RAVE,Dxrk ダーク,76,drift phonk,,RAVE,2022-03-18,2:49,72,75,24,85,34,4,11,-6 db,120,G#/A♭ Major,4B,4,2022-04-26,01kfSdF9zfcDLri5sSWEoL
10 , Cold Heart - PNAU Remix,"Elton John,Dua Lipa,PNAU",85,"glam rock, mellow gold, piano rock, dance pop, pop, uk pop, alternative dance, aussietronica, australian dance, australian electropop","Rock, Dance/Electronic, Pop",The Lockdown Sessions,2021-10-22,3:22,80,80,4,0,93,3,9,-6 db,116,C♯/D♭ Major,3B,4,2022-04-26,6JIC3hbC28JZKZ8AlAqX8h
11 , Softcore,The Neighbourhood,87,"modern alternative rock, modern rock, pop, shimmer pop","Rock, Pop",Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,3:26,57,57,5,0,37,3,29,-6 db,94,A Minor,8A,4,2022-04-26,2K7xn816oNHJZ0aVqdQsha
12 , The Motto,"Tiësto,Ava Max",90,"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house","Dance/Electronic, Pop",The Motto,2021-11-04,2:44,75,76,3,0,46,4,9,-5 db,118,G Minor,6A,4,2022-04-26,18asYwWugKjjsihZ0YvRxO
13 , STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber",88,"australian hip hop, canadian pop, pop","Hip Hop, Pop",F*CK LOVE 3: OVER YOU,2021-07-23,2:21,59,76,4,0,48,5,10,-5 db,170,C♯/D♭ Major,3B,4,2022-04-26,5PjdY0CKGZdEuoNab3yDmX
14 , After Dark,Mr.Kitty,74,weirdcore,,Time,2014-08-08,4:17,58,60,7,41,4,3,8,-10 db,140,G#/A♭ Major,4B,4,2022-04-26,0zCgWGmDF0aih5qexATyBn
15 , Down Under (feat. Colin Hay),"Luude,Colin Hay",69,"aussietronica, neo mellow, solo wave","Dance/Electronic, Folk/Acoustic",Down Under (feat. Colin Hay),2021-11-19,2:38,31,86,1,0,4,17,28,-4 db,172,B Minor,10A,4,2022-04-26,3Oww84xrmgjyr5J1ilOmAf
16 , Woman,Doja Cat,92,"dance pop, pop",Pop,Planet Her,2021-06-25,2:52,82,76,9,0,88,9,12,-4 db,108,F Minor,4A,4,2022-04-26,6Uj1ctrBOjOas8xZXGqKk4
17 , No Role Modelz,J. Cole,86,"conscious hip hop, hip hop, north carolina hip hop, rap",Hip Hop,2014 Forest Hills Drive,2014-12-09,4:52,69,52,32,0,49,34,5,-8 db,100,A#/B♭ Minor,3A,4,2022-04-26,68Dni7IE4VyPkTOH9mRWHr
18 , Shivers,Ed Sheeran,90,"pop, uk pop",Pop,=,2021-10-29,3:27,79,86,28,0,82,9,4,-3 db,141,D Major,10B,4,2022-04-26,50nfwKoDiSYg8zOCREWAm5
19 , INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X,Jack Harlow",86,"lgbtq+ hip hop, pop, deep underground hip hop, kentucky hip hop, rap","Hip Hop, Pop",MONTERO,2021-09-17,3:32,74,69,2,0,89,7,5,-7 db,150,A#/B♭ Minor,3A,4,2022-04-26,5Z9KJZvQzH6PFmb8SNkxuk
20 , Wait a Minute!,WILLOW,86,"afrofuturism, dance pop, electropop, pop, post-teen pop","R&B, Pop",ARDIPITHECUS,2015-01-11,3:16,76,71,4,0,67,3,9,-5 db,101,D#/E♭ Minor,2A,4,2022-04-26,0y60itmpH0aPKsFiGxmtnh
21 , Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran",79,"dance pop, pop, post-teen pop, uk pop",Pop,Familia,2022-04-07,3:26,76,70,18,0,96,4,33,-6 db,95,G#/A♭ Major,4B,4,2022-04-26,2DB4DdfCFMw1iaR6JaR03a
22 , Infinity,Jaymes Young,90,"modern rock, pop","Rock, Pop",Feel Something,2017-06-23,3:57,67,67,15,0,49,4,30,-7 db,122,B Minor,10A,4,2022-04-26,1SOClUWhOi8vHZYMz3GluK
23 , THATS WHAT I WANT,Lil Nas X,91,"lgbtq+ hip hop, pop","Hip Hop, Pop",MONTERO,2021-09-17,2:23,74,85,1,0,55,22,5,-5 db,88,C♯/D♭ Minor,12A,4,2022-04-26,0e8nrvls4Qqv5Rfa2UhqmO
24 , Boyfriend,Dove Cameron,90,"pop, post-teen pop",Pop,Boyfriend,2022-02-11,2:33,35,61,23,0,23,6,19,-7 db,180,G Minor,6A,3,2022-04-26,59CfNbkERJ3NoTXDvoURjj
25 , 505,Arctic Monkeys,81,"garage rock, permanent wave, rock, sheffield indie","Blues, Rock",Favourite Worst Nightmare (Standard Version),2007-04-24,4:13,52,85,0,0,23,5,7,-6 db,140,C Major,8B,4,2022-04-26,58ge6dfP91o9oXMzq3XkIS
26 , Bones,Imagine Dragons,87,"modern rock, rock",Rock,Bones,2022-03-11,2:45,77,74,2,0,57,5,8,-4 db,114,F Minor,4A,4,2022-04-26,0HqZX76SFLDz2aW8aiqi7G
27 , Revenge,XXXTENTACION,85,"emo rap, miami hip hop",Hip Hop,17,2017-08-25,2:00,75,25,78,0,18,26,11,-16 db,140,B Minor,10A,4,2022-04-26,5TXDeTFVRVY7Cvt0Dw4vWW
